Dtime,Velocity,Depth
2008-01-18 00:12:05,0.4,-2.0000000000018483
2008-01-18 00:12:10,-0.2,-1.000000000001848
2008-01-18 00:12:15,-0.2,-1.847966224488573e-12
2008-01-18 00:12:20,0.1,-0.500000000001848
2008-01-18 00:12:25,0.1,-1.000000000001848
2008-01-18 00:12:30,-0.1,-0.500000000001848
2008-01-18 00:12:35,0.0,-0.500000000001848
2008-01-18 00:12:40,0.2,-1.5000000000018483
2008-01-18 00:12:45,0.0,-1.5000000000018483
2008-01-18 00:12:50,0.1,-2.0000000000018483
2008-01-18 00:12:55,-0.2,-1.000000000001848
2008-01-18 00:13:00,0.2,-2.0000000000018483
2008-01-18 00:13:05,-0.3,-0.5000000000018481
2008-01-18 00:13:10,0.2,-1.5000000000018483
2008-01-18 00:13:15,-0.3,-1.8482437802447294e-12
2008-01-18 00:13:20,0.1,-0.5000000000018483
2008-01-18 00:13:25,0.0,-0.5000000000018483
2008-01-18 00:13:30,0.0,-0.5000000000018483
2008-01-18 00:13:35,0.1,-1.0000000000018483
2008-01-18 00:13:40,0.2,-2.0000000000018483
2008-01-18 00:13:45,0.0,-2.0000000000018483
2008-01-18 00:13:50,0.0,-2.0000000000018483
2008-01-18 00:13:55,-0.1,-1.5000000000018483
2008-01-18 00:14:00,-0.2,-0.5000000000018481
2008-01-18 00:14:05,0.2,-1.5000000000018483
2008-01-18 00:14:10,-0.2,-0.5000000000018481
2008-01-18 00:14:15,-0.1,-1.8481050023666512e-12
2008-01-18 00:14:20,0.2,-1.000000000001848
2008-01-18 00:14:25,0.0,-1.000000000001848
2008-01-18 00:14:30,-0.1,-0.5000000000018481
2008-01-18 00:14:35,-0.1,-1.8481050023666512e-12
2008-01-18 00:14:40,0.3,-1.5000000000018483
2008-01-18 00:14:45,-0.3,-1.8482437802447294e-12
2008-01-18 00:14:50,0.2,-1.0000000000018483
2008-01-18 00:14:55,0.2,-2.0000000000018483
2008-01-18 00:15:00,0.0,-2.0000000000018483
2008-01-18 00:15:05,0.0,-2.0000000000018483
2008-01-18 00:15:10,0.3,-3.5000000000018483
2008-01-18 00:15:15,-0.2,-2.5000000000018483
2008-01-18 00:15:20,0.1,-3.0000000000018483
2008-01-18 00:15:25,0.2,-4.000000000001849
2008-01-18 00:15:30,0.1,-4.500000000001848
2008-01-18 00:15:35,0.1,-5.000000000001848
2008-01-18 00:15:40,0.0,-5.000000000001848
2008-01-18 00:15:45,-0.3,-3.5000000000018483
2008-01-18 00:15:50,-0.3,-2.0000000000018483
2008-01-18 00:15:55,-0.2,-1.0000000000018483
2008-01-18 00:16:00,-0.1,-0.5000000000018483
2008-01-18 00:16:05,-0.1,-1.8482437802447294e-12
2008-01-18 00:16:10,0.0,-1.8482437802447294e-12
2008-01-18 00:16:15,0.0,-1.8482437802447294e-12
2008-01-18 00:16:20,0.1,-0.5000000000018483
2008-01-18 00:16:25,0.0,-0.5000000000018483
2008-01-18 00:16:30,-0.1,-1.8482437802447294e-12
2008-01-18 00:16:35,0.2,-1.0000000000018483
2008-01-18 00:16:40,0.0,-1.0000000000018483
2008-01-18 00:16:45,-0.1,-0.5000000000018483
2008-01-18 00:16:50,0.1,-1.0000000000018483
2008-01-18 00:16:55,0.165000000000001,-1.8250000000018534
2008-01-18 00:17:00,0.184999999999999,-2.7500000000018487
2008-01-18 00:17:05,0.3,-4.250000000001849
2008-01-18 00:17:10,0.1,-4.750000000001849
